Name,Price,LeaseType,PropertyType,Size,Furnished,Bedrooms,Bathrooms,Medianpsf,Views,Latitude,Longitude,Address
"The Z Residence, Bukit Jalil","For Sale: RM 660,000",Freehold,Serviced Residence,"1,410 SQ. FT",Fully Furnished,3  Bedrooms,2  Bathrooms,(RM 468.09 psf),"<span class=""view-count"">9</span>",3.0644530210000003,101.6653186083,"Jalan 5/155, Taman Industry Bukit OUG, 58200 Bukit Jalil, Kuala Lumpur"
"D'Sands Residence, Old Klang Road","For Sale: RM 720,000",Freehold,Condominium,"1,048 SQ. FT",Semi Furnished,3  Bedrooms,2  Bathrooms,(RM 687.02 psf),"<span class=""view-count"">3</span>",3.0849155988,101.6632962227,"Jalan Kampong Pasir, Kampung Pasir, 58200 Kuala Lumpur, Wilayah Persekutuan"
"Twin Arkz, Bukit Jalil","For Sale: RM 800,000",Freehold,Serviced Residence,"1,025 SQ. FT",Fully Furnished,2 + 1 Bedrooms,2  Bathrooms,(RM 780.49 psf),"<span class=""view-count"">6</span>",3.0524109860000004,101.67941093440001,"Jalan Jalil Perkasa 3, 57000 Kuala Lumpur, Wilayah Persekutuan"
"Glomac Damansara, TTDI","For Sale: RM 1,050,000",Freehold,Serviced Residence,"1,313 SQ. FT",Fully Furnished,3  Bedrooms,2  Bathrooms,(RM 799.7 psf),"<span class=""view-count"">5</span>",3.1329528939999998,101.6297900677,"Glomac Damansara, Jalan Damansara, 60000 Kuala Lumpur, Wilayah Persekutuan"
"Midfields, Sungai Besi","For Sale: RM 485,000",Freehold,Condominium,"1,074 SQ. FT",Semi Furnished,3  Bedrooms,2  Bathrooms,(RM 451.58 psf),"<span class=""view-count"">3</span>",3.0974072198,101.70054674149999,"Jalan 6/108c, Taman Sungai Besi, 57100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur."
"Glomac Damansara Residences, TTDI","For Sale: RM 860,000",Freehold,Serviced Residence,"1,102 SQ. FT",Semi Furnished,3  Bedrooms,2  Bathrooms,(RM 780.0 psf),"<span class=""view-count"">4</span>",3.1339491839999996,101.63005828860001,"Jalan Damansara, Taman Tun Dr. Ismail, 60000 Kuala Lumpur"
"Glomac Damansara Residences, TTDI","For Sale: RM 858,000",Freehold,Serviced Residence,"1,022 SQ. FT",Fully Furnished,3  Bedrooms,2  Bathrooms,(RM 839.53 psf),"<span class=""view-count"">4</span>",3.1339491839999996,101.63005828860001,"Jalan Damansara, Taman Tun Dr. Ismail, 60000 Kuala Lumpur"
"Midfields, Sungai Besi","For Sale: RM 488,000",Freehold,Condominium,"1,180 SQ. FT",Semi Furnished,3  Bedrooms,2  Bathrooms,(RM 413.56 psf),"<span class=""view-count"">3</span>",3.0974072198,101.70054674149999,"Jalan 6/108c, Taman Sungai Besi, 57100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur."
"Glomac Damansara, TTDI","For Sale: RM 855,000",Freehold,Serviced Residence,"1,010 SQ. FT",Semi Furnished,3  Bedrooms,2  Bathrooms,(RM 846.53 psf),"<span class=""view-count"">3</span>",3.1329528939999998,101.6297900677,"Glomac Damansara, Jalan Damansara, 60000 Kuala Lumpur, Wilayah Persekutuan"
"Twin Arkz, Bukit Jalil","For Sale: RM 2,100,000",Freehold,Condominium,"2,365 SQ. FT",Semi Furnished,4 + 1 Bedrooms,4  Bathrooms,(RM 887.95 psf),"<span class=""view-count"">9</span>",3.0524109860000004,101.67941093440001,"Jalan Jalil Perkasa 3, 57000 Kuala Lumpur, Wilayah Persekutuan"
"Twin Arkz, Bukit Jalil","For Sale: RM 2,100,000",Freehold,Condominium,"2,365 SQ. FT",Semi Furnished,4 + 1 Bedrooms,4  Bathrooms,(RM 887.95 psf),"<span class=""view-count"">10</span>",3.0524109860000004,101.67941093440001,"Jalan Jalil Perkasa 3, 57000 Kuala Lumpur, Wilayah Persekutuan"
"Glomac Damansara, TTDI","For Sale: RM 799,999",Freehold,Serviced Residence,876 SQ. FT,Semi Furnished,2  Bedrooms,2  Bathrooms,(RM 913.24 psf),"<span class=""view-count"">2</span>",3.1329528939999998,101.6297900677,"Glomac Damansara, Jalan Damansara, 60000 Kuala Lumpur, Wilayah Persekutuan"
"28 Dutamas, Dutamas","For Sale: RM 760,000",Freehold,Condominium,"1,467 SQ. FT",Unfurnished,3 + 1 Bedrooms,3  Bathrooms,(RM 518.06 psf),"<span class=""view-count"">4</span>",3.1793115076999996,101.6562151909,"No. 28 Jalan Dutamas Raya, Taman Segambut SPPK, 52100 Kuala Lumpur, Wilayah Persekutuan"
"288 Residences, Kuchai Lama","For Sale: RM 579,999",Freehold,Condominium,"1,215 SQ. FT",Semi Furnished,3  Bedrooms,2  Bathrooms,(RM 477.37 psf),"<span class=""view-count"">3</span>",3.0811445145,101.6879189014,"Jalan Riangria, Taman Gembira, 57100 Kuala Lumpur, Wilayah Persekutuan"
"Prima Duta, Dutamas","For Sale: RM 555,000",Freehold,Condominium,"1,580 SQ. FT",Semi Furnished,3  Bedrooms,3  Bathrooms,(RM 351.27 psf),"<span class=""view-count"">4</span>",3.18079,101.661,"No. 12, Jalan Dutamas Raya, Taman Segambut Sppk, 51200 Kuala Lumpur, Wilayah Persekutuan"
"SkyLuxe On The Park, Bukit Jalil","For Sale: RM 860,000",Freehold,Serviced Residence,"1,011 SQ. FT",Semi Furnished,3  Bedrooms,2  Bathrooms,(RM 850.64 psf),"<span class=""view-count"">6</span>",3.0538680365,101.67610645290002,"Jalan Jalil Perkasa 1, Bukit Jalil, 57000 Kuala Lumpur, Wilayah Persekutuan"
"Gembira Residen, Kuchai Lama","For Sale: RM 778,000",Freehold,Condominium,"1,392 SQ. FT",Semi Furnished,3  Bedrooms,3  Bathrooms,(RM 558.91 psf),"<span class=""view-count"">3</span>",3.0820980001,101.68657511469999,"Jalan Senang Ria, Off Jalan Gembira, Taman Gembira, 58200 Kuala Lumpur, WIlayah Persekutuan"
"Twin Arkz, Bukit Jalil","For Sale: RM 865,000",Freehold,Serviced Residence,"1,170 SQ. FT",Semi Furnished,3  Bedrooms,2  Bathrooms,(RM 739.32 psf),"<span class=""view-count"">6</span>",3.0524109860000004,101.67941093440001,"Jalan Jalil Perkasa 3, 57000 Kuala Lumpur, Wilayah Persekutuan"
"Vivo Residential @ 9 Seputeh, Old Klang Road","For Sale: RM 803,000",Freehold,Serviced Residence,"1,388 SQ. FT",Semi Furnished,3  Bedrooms,2  Bathrooms,(RM 578.53 psf),"<span class=""view-count"">3</span>",3.1059348628,101.6767501831,"Jalan Klang Lama, Batu 3 1/2, 58100 Kuala Lumpur, Wilayah Persekutuan"
"The Z Residence, Bukit Jalil","For Sale: RM 580,000",Freehold,Condominium,"1,032 SQ. FT",Unfurnished,3  Bedrooms,2  Bathrooms,(RM 562.02 psf),"<span class=""view-count"">7</span>",3.0644530210000003,101.6653186083,"Jalan 5/155, Taman Industry Bukit OUG, 58200 Bukit Jalil, Kuala Lumpur"
"Puteri Palma 2, IOI Resort City","For Sale: RM 875,000",Freehold,Condominium,"1,647 SQ. FT",Fully Furnished,3  Bedrooms,3  Bathrooms,(RM 531.27 psf),"<span class=""view-count"">5</span>",2.965477235,101.7137056589,"IOI Resort, 62502 Putrajaya, Wilayah Persekutuan"
"Aradia Residence @ Lake City, Kuala Lumpur","For Sale: RM 570,000",Freehold,Condominium,943 SQ. FT,Semi Furnished,3  Bedrooms,2  Bathrooms,(RM 604.45 psf),"<span class=""view-count"">5</span>",3.213923,101.6695903,
"Lake City @ KL North, Kuala Lumpur","For Sale: RM 350,000",Freehold,Condominium,548 SQ. FT,Semi Furnished,1  Bedrooms,1  Bathrooms,(RM 638.69 psf),"<span class=""view-count"">9</span>",3.2137762000000003,101.6695833,
